Record Number	001	Location
b63457994	sse0000095693	multi;eb;er;noh
b63458019	sse0000315485	multi;eb;er;noh
b63458172	sse0000315667	multi;eb;er;noh
b63458214	sse0000096686	multi;eb;er;noh
b63458251	sse0000315682	multi;eb;er;noh
b63458263	sse0000097016	multi;eb;er;noh
b63458275	sse0000097018	multi;eb;er;noh
b63458287	sse0000315683	multi;eb;er;noh
b63458299	sse0000097025	multi;eb;er;noh
b63458317	sse0000315684	multi;eb;er;noh
b63458391	sse0000097514	multi;eb;er;noh
b63458433	sse0000097713	multi;eb;er;noh
b63458512	sse0000097930	multi;eb;er;noh
b63458524	sse0000098149	multi;eb;er;noh
b63458585	sse0000315488	multi;eb;er;noh
b63458597	sse0000099273	multi;eb;er;noh
b63458615	sse0000288327	multi;eb;er;noh
b63458640	sse0000099611	multi;eb;er;noh
b63458652	sse0000100328	multi;eb;er;noh
b63458676	sse0000100402	multi;eb;er;noh
b6345869x	sse0000316115	multi;eb;er;noh
b63458780	sse0000101369	multi;eb;er;noh
b63458822	sse0000101370	multi;eb;er;noh
b63458834	sse0000101371	multi;eb;er;noh
b63458950	sse0000102987	multi;eb;er;noh
b63458962	sse0000315489	multi;eb;er;noh
b63458998	sse0000315490	multi;eb;er;noh
b63459036	sse0000103457	multi;eb;er;noh
b6345905x	sse0000103540	multi;eb;er;noh
b63459073	sse0000315491	multi;eb;er;noh
b63459097	sse0000315492	multi;eb;er;noh
b63459140	sse0000104206	multi;eb;er;noh
b6345919x	sse0000104347	multi;eb;er;noh
b63459206	sse0000288941	multi;eb;er;noh
b6345922x	sse0000315494	multi;eb;er;noh
b63459243	sse0000104564	multi;eb;er;noh
b63459255	sse0000104769	multi;eb;er;noh
b63459279	sse0000104773	multi;eb;er;noh
b63459358	sse0000106157	multi;eb;er;noh
b63459383	sse0000106318	multi;eb;er;noh
b63459425	sse0000107138	multi;eb;er;noh
b63459437	sseb001390690	multi;eb;er;noh
b63459504	sse0000107222	multi;eb;er;noh
b63459516	sse0000107226	multi;eb;er;noh
b63459553	sse0000107238	multi;eb;er;noh
b63459632	sse0000289409	multi;eb;er;noh
b63459644	sse0000107274	multi;eb;er;noh
b63459668	sse0000107278	multi;eb;er;noh
b6345967x	sse0000107280	multi;eb;er;noh
b6345970x	sse0000107285	multi;eb;er;noh
b63459723	sse0000289436	multi;eb;er;noh
b63459760	sse0000107798	multi;eb;er;noh
b63459784	sse0000107916	multi;eb;er;noh
b63459814	sse0000108180	multi;eb;er;noh
b63459851	sse0000108658	multi;eb;er;noh
b63459863	sse0000108993	multi;eb;er;noh
b63459875	sse0000109064	multi;eb;er;noh
b63459899	sse0000109096	multi;eb;er;noh
b63459905	sse0000109115	multi;eb;er;noh
b63459966	sse0000110791	multi;eb;er;noh
b63459978	sse0000111309	multi;eb;er;noh
b6345998x	sse0000111454	multi;eb;er;noh
b63459991	sse0000111590	multi;eb;er;noh
b63460038	sse0000111640	multi;eb;er;noh
b63460075	sse0000111994	multi;eb;er;noh
b63460105	sse0000316505	multi;eb;er;noh
b63460117	sse0000315498	multi;eb;er;noh
b63460166	sse0000112306	multi;eb;er;noh
b63460178	sse0000112317	multi;eb;er;noh
b63460221	sse0000316528	multi;eb;er;noh
b63460245	sse0000315500	multi;eb;er;noh
b63460282	sse0000316531	multi;eb;er;noh
b63460336	sse0000315501	multi;eb;er;noh
b63460397	sse0000114270	multi;eb;er;noh
b63460415	sse0000316537	multi;eb;er;noh
b63460427	sse0000316538	multi;eb;er;noh
b63460440	sse0000114570	multi;eb;er;noh
b63460452	sse0000114577	multi;eb;er;noh
b63460476	sse0000114593	multi;eb;er;noh
b63460488	sse0000114582	multi;eb;er;noh
b6346052x	sse0000114601	multi;eb;er;noh
b63460579	sse0000117265	multi;eb;er;noh
b63460592	sse0000117280	multi;eb;er;noh
b63460762	sse0000117324	multi;eb;er;noh
b63460786	sse0000117336	multi;eb;er;noh
b63460853	sse0000117791	multi;eb;er;noh
b63460889	sse0000290900	multi;eb;er;noh
b63460956	sse0000117844	multi;eb;er;noh
b63460968	sse0000117852	multi;eb;er;noh
b6346097x	sse0000117853	multi;eb;er;noh
b63460981	sse0000290909	multi;eb;er;noh
b63461018	sse0000117863	multi;eb;er;noh
b6346102x	sse0000117864	multi;eb;er;noh
b63461031	sse0000316569	multi;eb;er;noh
b63461080	sse0000118151	multi;eb;er;noh
b63461092	sse0000118278	multi;eb;er;noh
b63461122	sse0000291012	multi;eb;er;noh
b63461146	sse0000118473	multi;eb;er;noh
b63461158	sse0000118512	multi;eb;er;noh
b63461183	sse0000118733	multi;eb;er;noh
b63461201	sse0000316580	multi;eb;er;noh
b63461213	sse0000119094	multi;eb;er;noh
b63461237	sse0000316591	multi;eb;er;noh
b63461249	sse0000316594	multi;eb;er;noh
b63461250	sse0000119444	multi;eb;er;noh
b63461274	sse0000119452	multi;eb;er;noh
b63461286	sse0000119645	multi;eb;er;noh
b63461298	sse0000119771	multi;eb;er;noh
b63461316	sse0000120710	multi;eb;er;noh
b63461328	sse0000120712	multi;eb;er;noh
b63461419	sse0000316623	multi;eb;er;noh
b63461444	sse0000291577	multi;eb;er;noh
b63461456	sse0000122072	multi;eb;er;noh
b6346147x	sse0000122080	multi;eb;er;noh
b63461560	sse0000123458	multi;eb;er;noh
b63461572	sse0000123462	multi;eb;er;noh
b63461584	sse0000291794	multi;eb;er;noh
b63461614	sse0000316649	multi;eb;er;noh
b63461675	sse0000123551	multi;eb;er;noh
b63461705	sse0000123595	multi;eb;er;noh
b63461717	sse0000316650	multi;eb;er;noh
b63461729	sse0000123608	multi;eb;er;noh
b63461730	sse0000123617	multi;eb;er;noh
b63461766	sse0000123622	multi;eb;er;noh
b63461778	sse0000316651	multi;eb;er;noh
b63461808	sse0000123652	multi;eb;er;noh
b6346181x	sse0000315505	multi;eb;er;noh
b63461869	sse0000123728	multi;eb;er;noh
b63461900	sse0000124069	multi;eb;er;noh
b63461924	sse0000124666	multi;eb;er;noh
b6346195x	sse0000124968	multi;eb;er;noh
b63461961	sse0000124984	multi;eb;er;noh
b63461997	sse0000316675	multi;eb;er;noh
b63462035	sse0000125000	multi;eb;er;noh
b63462047	sse0000125001	multi;eb;er;noh
b63462096	sse0000315508	multi;eb;er;noh
b63462114	sse0000125022	multi;eb;er;noh
b63462126	sse0000291995	multi;eb;er;noh
b63462151	sse0000125204	multi;eb;er;noh
b63462187	sse0000125614	multi;eb;er;noh
b63462217	sse0000125895	multi;eb;er;noh
b63462229	sse0000316723	multi;eb;er;noh
b63462230	sse0000126428	multi;eb;er;noh
