name,aalload,aalqual,aaldupe,aalpending,aaldrop,hslload,hsldupe,hsldrop,lawload,lawdupe,lawdrop,773title,506access,note
%NCLIVE - Ebsco Complete Titles,,1/1/2015,,,,,,,,,,Ebsco complete ebooks via NCLIVE (online collection),,
%NCLIVE - Ebsco Premier Titles,,1/1/2015,,,,,,,,,,Ebsco premier ebooks via NCLIVE (online collection),,
20th Century African-American Poetry,,,2/1/2011,,,,,,,,,,,
20th Century American Poetry,,,2/1/2011,,,,,,,,,,,
20th Century English Poetry,,,2/1/2011,,,,,,,,,,,
ABI/INFORM Collection;;;ABI/INFORM Complete,,2/1/2015,,,,,,,,,,,,
Academic Search Premier,,1/1/2015,,,,,,,,,,Academic search premier ebooks (online collection),,
Access Emergency Medicine,,,,,,6/1/2010,,,,,,Access Emergency Medicine (online collection). Ebooks,Unlimited simultaneous users,
Access Medicine,,,,,,6/1/2013,,,,,,Access Medicine (online collection). Ebooks,Unlimited simultaneous users,
Access Medicne - Case Files Collection;;;Access Medicine - Case Files Collection,,,,,,2/1/2016,,,,,,Access Medicine - Case files collection (online collection). Ebooks,Unlimited simultaneous users,
AccessPharmacy,,,,,,6/1/2015,,,,,,AccessPharmacy (online collection). Ebooks,Unlimited simultaneous users,
Accounting & Tax Database;;;Accounting & Tax,5/1/2015,,,,,,,,,,,Accounting & Tax (online collection). Ebooks,Unlimited simultaneous users,
"Accounting, Tax & Banking Collection",3/1/2017,,,,,,,,,,,"Accounting, Tax & Banking Collection (online collection). Ebooks",Unlimited simultaneous users,
ACM Digital Library,2/1/2014,,,,,,,,,,,ACM digital library ebooks (online collection). Subscribed,Unlimited simultaneous users,
ACS Symposium Series,,,11/1/2013,,,,,,,,,,,
Advances in Chemistry Series,,,11/1/2013,,,,,,,,,,,
AgEcon,,7/1/2011,,,,,,,,,,,,
American Civil War: Letters and Diaries,,,9/1/2010,,,,,,,,,,,
American County Histories to 1900: Southeastern States: Alabama,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: Florida,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: Georgia,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: Kentucky,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: Louisiana,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: Mississippi,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: North Carolina,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: South Carolina,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: Tennessee,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: Virginia,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories to 1900: Southeastern States: West Virginia,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories: The Southwest: Arizona,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories: The Southwest: Arkansas,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories: The Southwest: New Mexico,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories: The Southwest: Oklahoma,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American County Histories: The Southwest: Texas,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). American County Histories,Unlimited simultaneous users,
American Dental Education Association,,,,,,4/1/2016,,,,,,American Dental Education Association (online collection). Ebooks,Unlimited simultaneous users,
American Film Scripts Online,,,9/1/2010,,,,,,,,,,,
Arab World Research Source,,,3/1/2016,,,,,,,,,,,"351 titles, listed as both ebooks and ejournals, with the same URL for each. 1 listed only as ebook. All are actually journals"
Art & Architecture Complete,2/1/2012,,,,,,,,,,,Art & architecture complete ebooks (online collection),Unlimited simultaneous users,
Art and Architecture Source;;;Art Source,1/1/2015,,,,,,,,,,,Art source (online collection). Ebooks,Unlimited simultaneous users,
Asian & European Business Collection,3/1/2017,,,,,,,,,,,Asian & European Business Collection (online collection). Ebooks,Unlimited simultaneous users,
Asian American Drama,,,9/1/2010,,,,,,,,,,,
Asian Business Database;;;ProQuest Asian Business & Reference,5/1/2015,,,,,,,,,,,ProQuest Asian business & reference (online collection). Ebooks,Unlimited simultaneous users,
